Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children
Sao,Irunmole,Spirit,Intermediate spirits between humans and Olodumare,Cosmos,Other,Divine and Influential,"Spiritual guidance, intermediaries",Radiant light,Gold,"Spiritual connection, guidance",,Olodumare,,,Various intermediary spirits
Berber,Irzem,God,God of dreams and the subconscious,Dreams,Male,Mysterious and Dreamlike,"Dreams, subconscious",Crescent moon,Indigo,"Dreams, intuition, inner knowledge",,,,,Various dream and subconscious deities
Canaanite,Ishara,God,Goddess of love,-,Female,Deity,"Love, oaths",-,-,Love and oaths,-,-,-,-,-
Assyrian,Ishtar,God,Goddess of Love and War,Assyria,Female,Powerful and Capricious,"Love, War, Fertility",Eight-Pointed Star,Red,"Love, Fertility",Married,Lahmu,Lahamu,Tammuz,"Many, including Ninurta"
Mesopotamian,Ishtar,God,Goddess of Love and War,Mesopotamia,Female,Complex Goddess,"Love, War, Fertility","Eight-Pointed Star, Lion",Red,"Love, Fertility, Power",Married,Sin,Anu,Tammuz,Various Deities
Egyptian,Isis,God,Goddess of Magic and Motherhood,Egyptian,Female,"Magic, Motherhood","Magic, Fertility","Ankh, Throne",Blue,"Magic, Fertility",Married,Nut,Geb,Osiris,"Horus, Anubis"
Maya,Itzamná,God,Supreme Deity,Mesoamerica,Male,Creator and Wise,"Creation, Wisdom","Celestial, Serpent",White,"Creation, Wisdom",,,,,
Tuareg,Iwellemmedan,Spirit,Spirit of the desert and guardian,Desert,Other,Guardian and Protective,Protection of the desert,Dunes,Varied,"Desert protection, guidance",,,,,
Maya,Ixchel,God,Goddess of the Moon and Fertility,Yucatan Peninsula,Female,Nurturing and Fertile,"Moon, Fertility","Moon, Rabbit",White,"Moon, Fertility",,,Itzamná,,
Maya,Ixkik,God,Goddess of Chocolate,Mesoamerica,Female,Sweet and Tempting,"Chocolate, Pleasure","Cacao Pod, Sweets",Brown,"Chocolate, Pleasure",,,,,
Maya,Ixpiyacoc,God,Creator God,Mesoamerica,Male,Creator and Artisan,"Creation, Craftsmanship",Artisan Tools,,"Creation, Craftsmanship",,,,,
Sao,Iyami Osoronga,God,Powerful and mysterious female deities associated with primordial forces,Cosmos,Female,Mysterious and Enigmatic,"Primordial forces, feminine power",Cauldron,Black and Red,"Feminine power, primordial energy",,Olodumare,,,Various primordial deities
Muisca,Iyú,God,Deity ,Muisca Confederation,Male,Deity,"Water, Rivers",River Symbols,,"Water, Rivers",,,,,
Shinto,Izanagi,God,"Creator God, Husband of Izanami",Yomi-no-Kuni,Male,Wise and Creative,"Creation, Wisdom","Spear, Magatama",White,"Creation, Wisdom",Married,,,Izanami no Mikoto,"Many, including Amaterasu"
Shinto,Izanami,God,"Creator Goddess, Wife of Izanagi",Yomi-no-Kuni,Female,Gentle and Nurturing,"Creation, Nurturing","Mirror, Magatama",White,"Creation, Nurturing",Married,,,Izanagi no Mikoto,"Many, including Amaterasu"
Sami,Jabme-Áhkká,God,Goddess of the Herd and Reindeer,Sami Lands,Female,Caring and Vigilant,"Reindeer, Herding",Reindeer,Brown,"Herding, Care",,,,,"Many, including reindeer spirits"
Korean,Jacheongbi,God,Goddess of Birth and Fertility,Earth,Female,Nurturing and Fertile,"Birth, Fertility",Pregnant Belly,Green,"Fertility, Motherhood",,,,,
Chinese,Jade Emperor,God,Supreme Deity,Heaven,Male,Supreme ruler,Supreme ruler,"Flaming wheel, bagua","Red, blue","Transition, duality",Married,Wangmu,Jade Emperor,"Xi Wangmu,","Many, including Guanyin"
Taoist,Jade Emperor,God,Supreme deity in Taoism,Sky,Male,Wise and Benevolent,Supreme ruler of the heavens,Jade emperor's robe,Jade,"Wisdom, benevolence",Married,,,Queen Mother of the West,"Many, including Nezha"
Vietnamese,Jade Emperor,God,Supreme Deity and Ruler of Heaven,Celestial Realm,Male,Wise and Just,"Universal Rule, Justice","Jade Crown, Imperial Robes",Jade Green,"Justice, Order",,,,,
Roman,Janus,God,God of Beginnings and Endings,Italy,Male,Dual-faced and Wise,"Transition, doorways",Two Faces,Gold and Silver,"Transition, duality",,,,,
Xavante,Jarará,God,God of the Hunt,Xavante Territory,Male,Hunter Deity,"Hunting, Forest, Animal Spirits","Bow, Arrows, Forest Symbols","Green, Brown","Hunting Skills, Harmony with Nature",,,,,Animals
Croatian,Jarilo,God,"God of Spring, Fertility, and Youth",Croatia,Male,Youthful and Vital,"Spring, fertility, youth",Green Shoots,Light Green,"Renewal, fertility",,,,,
Guaraní,Jasy Jatere,Spirit,Forest Spirit and Protector of the Yvoty (Fruit),Guaraní Region,Male,Forest Guardian,"Forests, Fruits, Protector of Children",Forest Symbols,"Green, Brown","Protection of Children, Harmony with Nature",,Nhanderuvuçu,,,
Karajá,Javú,God,God of the Hunt,Karajá Region,Male,Hunter Deity,"Hunting, Forest, Animal Spirits","Bow, Arrows, Forest Symbols","Green, Brown","Hunting Skills, Harmony with Nature",,,,,Animals
Christian,Jesus,Human,"Savior, Messiah",Judea,Male,"Son of God, Savior","Love, Forgiveness","Cross, Lamb",White,"Love, Salvation",,Mary,Joseph,,
Christian,Jesus Christ,God,"Son of God, Savior",Earth,Male,"Redeemer, Teacher","Salvation, Compassion","Cross, Lamb of God",Red,"Love, Forgiveness",,Virgin Mary,God the Father,,
Indonesian,Jin Fin Ho,God,"Monkey God, Trickster Deity",Borneo,Male,Playful and Clever,"Trickery, Mischief","Monkey, Bananas",Brown,"Playfulness, Trickery",,,,,
Jewish,Jophiel,Spirit,Archangel of Beauty and Art,Heaven,Male,Guardian of Divine Beauty,"Art, Beauty, Creativity",Golden Scepter,Lavender,"Appreciation, Creativity",,,,,
Korean,Jujak,Anthropomorphism,"Vermilion Bird, Guardian of the South",South,Female,Elegant and Resplendent,"Protection, Prosperity",Phoenix Wings,Red,"Protection, Prosperity",,,,,
Aboriginal,Julana,God,Sun goddess and creator of fire,Sky,Female,Radiant and Creative,"Sun, fire","Sun, fire",Yellow,"Creativity, illumination",,,,,Various fire-related beings
Korean,Jumong,Human,"Founding King of Goguryeo, Heroic Archer",Goguryeo,Male,Heroic and Skilled Archer,"Leadership, Archery",Bow and Arrow,"Red, black","Heroism, Archery",Married,Lady Yuhwa,Hwanung (Sky God),Yes,Multiple
Roman,Juno,God,Queen of the Gods,Mount Olympus,Female,Maternal and regal,Family and marriage,"Peacock feather, diadem",Peacock colors,"Marriage, family",Married,Ops,Saturn,Jupiter,"Mars, Vulcan, Bellona"
Sami,Juoksahkka,Spirit,Female Water Spirit,Sami Lands,Female,Graceful and Enchanting,"Water, Lakes",Water Lily,"Blue, Green","Enchantment, Gracefulness",,,,,Spirits of water
Roman,Jupiter,God,King of the Gods,Mount Olympus,Male,Mighty ruler,Ruling,Thunderbolt,"Sky blue, white, gold","Leadership, justice",Married,Ops,Saturn,"Many, including Hera","Many, including Ares"
Tupinambá,Jurupari,Spirit,Spirit of Initiation and Male Fertility,Tupinambá Region,Male,Fertility Spirit,"Male Initiation, Fertility",Phallic Symbols,Various,"Male Fertility, Initiation",,,,,
Croatian,Jutrobog,God,God of Dawn and New Beginnings,Croatia,Male,Hopeful and Inspirational,"Dawn, new beginnings",Rising Sun,Gold,"Hope, new beginnings",,,,,
Sara,Kaba,Anthropomorphism,Sacred forest with spiritual significance,Sara homeland,Other,Sacred and Mystical,"Spiritual retreat, connection",Forest,Varied,"Spiritual connection, sanctuary",,,,,
Hopi,Kachina,Spirit, spirits or personifications of things in the real world,Hopi Mesas,Other,human-like relationships,"Nature, Ancestors",Kachina Masks,,Harmony,,,,,
Polynesian,Kahōtia,God,Goddess of hawks and falcons,Sky,Female,Swift and Observant,"Hawks, falcons","Hawks, falcons",Various,"Agility, keen observation",,,,,Various bird-related beings
Hindu,Kali,God,Goddess of Destruction and Time,Cosmic Realm,Female,Destructive Force,"Destruction, Time, Change","Severed Heads, Sword",Black,"Transformation, Liberation, Power",Married,Parvati,Shiva,Shiva,
Xavante,Kamaiurá,Spirit,Ancestor Spirits and Protectors,Xavante Territory,Other,Ancestral Spirits,"Ancestral Guidance, Protection",Ancestral Symbols,Various,"Ancestral Connection, Protection",,,,,
Hawaiian,Kamapua'a,God,"God of agriculture and wild pigs,  a shapeshifter who can transform into various forms, including that of a handsome man or a wild boar. ",Agriculture,Male,Caring and Wild,"Agriculture, wild pigs, fertility, and water",Pigs,Various,Agricultural abundance,Married,,,Pele,Various agricultural beings
Hawaiian,Kamohoalii,God,Shark god and brother of Pele,Oceans,Male,Protective and Agile,"Sharks, protection","Shark, ocean motifs",Blue,"Protection, agility",,Haumea,Kane Milohai,,"Many, including shark spirits"
Hawaiian,Kamohoali'i,God,God of sharks and protection,"Oceans, Seas",Male,Protective and Swift,"Sharks, protection",Shark images,Various,"Protection, swiftness",,,,,Various sea beings
Ainu,Kamuy Fuchi,God,Hearth Goddess,Ainu Regions,Female,Goddess,"Hearth, Home","Fire, Hearth",,"Hearth, Home",,,,,
Ainu,Kamuy Hokai,God,Hunting,Ainu,Male,Deity,Hunting,,,Hunting,,,,,
Ainu,Kamuy Kotan,God,God of the Village,Ainu Regions,Male,God,"Village, Protection",Village Symbols,,"Village, Protection",,,,,
Ainu,Kamuy Mosir,God,God of Land,Ainu,Male,Deity,Land,,,God of Land,,,,,
Ainu,Kamuy Yukar,Anthropomorphism,Ainu sagas,Ainu,Other,Object,Ainu mosir,,,Ainu sagas,,,,,
Ainu,Kamuy-huci,God,"Goddess of the hearth, guardian of the home, and also the judge of domestic affairs",Ainu,Female,Deity,"Land, People Teacher, keeper of the gateway between the world of humans and the world of kamuy","Mountains, hearth fire ",,"Goddess of the hearth, guardian of the home, and also the judge of domestic affairs",,the fire-producing drill ,,,
Polynesian,Kanaloa,God,God of the sea and underworld,"Oceans, Underworld",Male,Mysterious and Tranquil,"Sea, underworld, tranquility","Ocean, underworld symbols","Blue, black","Tranquility, ocean mysteries",,,,,"Many, including sea and underworld spirits"
Hawaiian,Kanaloa,God,God of the sea and ocean,"Oceans, Seas",Male,Benevolent and Protective,"Sea, ocean",Fish hook,Blue,Harmony with nature,,,,,Various sea beings
Cherokee,Kananesgi,Human,Lucky Hunter,Cherokee Nation,Male,Hero,Hunting,,,Luck,,,,,
Hawaiian,Kane,God,Supreme creator god,Sky,Male,Wise and All-Powerful,"Creation, wisdom",Wooden images,White,"Wisdom, divine creation",,,,,Various cosmic beings
Kayapo,Kanhok,God,Earth Goddess and Protector of Nature,Kayapó Territory,Female,Earth Guardian,"Nature, Forests, Guardian of the Environment","Trees, Earth Symbols","Green, Brown","Nature Conservation, Harmony with Earth",,,,,
Hindu,Kartikeya,God,"God of war, associated with courage and strength",India,Male,Deity,"War, Courage, Strength","Peacock, Spear",Red,"Courage, Strength",-,Parvati,Shiva,-,Various deities
Canaanite,Kaus,God,God of archery,-,Male,Deity,"Archery, hunting",-,-,Archery and hunting,-,-,-,-,-
Tuareg,Kel Essuf,Spirit,Warrior spirits protecting the Tuareg people,Desert,Other,Courageous and Defending,Warrior ethos,Sword,Varied,"Courage, defense of the tribe",,,,,
Tuareg,Kel Tamasheq,Human,Collective term for Tuareg people,Desert,Other,Resilient and Nomadic,Nomadic lifestyle,Camel,Varied,"Nomadism, resilience",,,,,
Guaraní,Kerana,God,Goddess of the Moon and Fertility,Guaraní Region,Female,Lunar Deity,"Moon, Fertility, Night","Crescent Moon, Fertility Symbols",Silver,"Fertility, Feminine Energy",Married,Angatupyry,Karai,Tupã (possible),Ao Ao (possible)
Mongolian,Khan-Dei,God,God of War,Mongolian Regions,Male,God,War,Weapons,Red,War,,,,,
Zoroastrian,Khashm,God,God of metals and minerals,-,Male,Deity,"Metals, minerals",-,-,"Metals, minerals",-,-,-,-,Various deities
Egyptian,Kherty,God,God of Silence,Egypt,Male,God,"Silence, Death",Mummy,,"Silence, Death",,,,,
Egyptian,Khnum,God,God of Creation,Egyptian,Male,Creator God,"Creation, Pottery","Ram, Potter's Wheel",Blue,"Creation, Pottery",,Hathor,,,"Anuket, Satis"
Egyptian,Khonsu,God,God of the Moon and Time,Egypt,Male,Timekeeper and Compassionate,"Moon, time",Crescent moon,Silver,"Time, protection, healing",,,Amun-Ra,,
Persian,Khosrow,God,God of the Sun and Light,Persia,Male,Radiant and Illuminating,"Sun, Light",Sun Disk,Yellow,"Illumination, Light",,,,,
Zoroastrian,Khwarshēd,God,Goddess of the sun,-,Female,Deity,Sun,Sun,-,Sun,-,-,-,-,Various deities
Sumerian,Ki (Ninhursag),God,Earth goddess,-,Female,Deity,"Fertility, childbirth",Mountain,-,"Fertility, Childbirth",-,-,-,-,Various deities
Sumerian,Ki (Ninhursag),God,Earth goddess,Earth,Female,Deity,"Fertility, childbirth",Mountain,-,"Fertility, Childbirth",-,-,-,-,Various deities
Sara,Kifalme,Spirit,"Lion spirit, symbol of courage",Sara homeland,Male,Courageous and Fearless,"Courage, bravery",Lion,Golden,"Courage, bravery",,,,,
Sara,Kifaru,Spirit,"Rhino spirit, protector of the land",Sara homeland,Male,Sturdy and Protective,"Land conservation, protection",Rhino,Grey,"Environmental protection, stability",,,,,
Tlingit,Killer Whale,Spirit,Sea Spirit and Symbol of Family,Tlingit Nation,Female,Sea Spirit,"Sea, Family, Harmony",Killer Whale Symbols,"Black, White","Family, Harmony",,,,,
Sara,Kirdi,Human,Collective term for Sara people,Sara homeland,Other,Resilient and Diverse,Cultural diversity,Drum,Varied,Unity in diversity,,,,,
Nez Perce,Kisaru'lute,Anthropomorphism,Monster,Nez Perce Region,Other,Monster,"Chaos, Destruction",Monster,,Monster,,,,,
Sumerian,Kishar,God,Earth,Sumer,Female,Goddess,Earth,,,Earth,,,,,
Hopi,Kokopelli,God,Fertility Deity,Hopi Mesas,Male,Deity,"Fertility, Music",Humpbacked Flute Player,,Fertility,,,,,
Wabanaki,Koluscap (Glooscap),Human,Heroic Transformer and Protector of Humanity,Wabanaki Confederacy,Male,Heroic Transformer,"Creation, Heroism, Protection","Heroic Symbols, Sacred Icons",Various,"Heroism, Protection of Humanity",,Sky Woman,,,Various (Including Animals and Humans)
Nez Perce,Koolkoolau,Anthropomorphism,Monster,Nez Perce Region,Other,Monster,"Chaos, Destruction",Monster,,Monster,,,,,
Kayapo,Kôt,God,God of the Sun,Kayapó Territory,Male,Solar Deity,"Sun, Light, Life","Sun Disk, Radiant Symbols","Yellow, Red","Life, Light",,,,,
Canaanite,Kothar-wa-Khasis,God,Craftsman god,-,Male,Deity,"Crafts, skill, wisdom",-,-,Skill and wisdom,-,-,-,-,Various deities
Albanian,Kreshnik,Human,Hero,Albanian Regions,Male,Hero,Heroism,Weapons,,Heroism,,,,,
Hindu,Krishna,God,Supreme Personality of Godhead,"Vrindavan, Dwarka",Male,Charming and Divine,"Love, Playfulness","Flute, Peacock Feather",Blue,"Divine Love, Devotion",Married,"Devaki, Yashoda",Vasudeva,Radha,Various Consorts
Hawaiian,Ku,God,God of war,Land,Male,Fierce and Warrior-like,"War, conflict","Weapons, war clubs",Red,"Courage, strength, discipline",,,,,Various war-related beings
Buddhist,Kuan Yin,God,"Compassion, mercy, associated with healing",East Asia,Female,Bodhisattva,"Compassion, Healing",Willow branch,White,"Compassion, Mercy, Healing",-,-,-,-,Various beings
Buddhist,Kuan Yin (Guanyin),God,Bodhisattva of Compassion,Cosmic,Female,Compassionate Being,"Compassion, Mercy","Willow Branch, Vase",White,"Compassion, Mercy",,,,,
Chinese,Kui Xing,God,God of Examinations,Heaven,Male,Scholarly and Examining,"Examinations, Scholarship","Brush, Writing Tools",Green,"Scholarship, Success",,,,,
Karajá,Kuiumekô,God,Goddess of the Moon,Karajá Region,Female,Lunar Deity,"Moon, Night, Fertility","Crescent Moon, Night Symbols",Silver,"Fertility, Femininity",,,,,
Nenets,Kujatai,God,God of the Hunt and Animals,Nenets Region,Male,Skilled and Protectorate,"Hunting, Animal Welfare","Bow, Reindeer","Brown, Green","Respect for Nature, Skill in Hunting",,,,,"Many, including animal spirits"
Maya,Kukulkan,God,Feathered Serpent God,Mesoamerica,Male,Serpent and Divine,"Wind, Agriculture",Feathered Serpent,"Green, Blue","Wind, Agriculture",,,,,
Hittite,Kumarbi,God,"God of Earth and Fertility, God of Sky",Earth,Male,Fertile and Powerful,"Earth, fertility","Sheaf of wheat, plough","Brown, green","Fertility, abundance",,,,,"Many, including Ullikummi"
Shinto,Kunitokotachi,God,Primordial deity of the origin of the land,Japan,Other,Earthly Origin,"Earth, Origin, Land",Earth and Mountain,Brown,"Land, Creation, Stability",,,,,Various Deities
Slavic,Kupala,God,God of the summer solstice and fertility,Earth,Male,Joyful and Fertile,"Summer, fertility, celebration","Wreath, flowers","Green, gold","Fertility, celebration",,Mokosh,Svarog,,
Guaraní,Kurupi,God,Fertility God and Protector of Wild Nature,Guaraní Region,Male,Fertility Deity,"Fertility, Wild Nature, Guardian of the Forest","Phallic Symbols, Forest Icons","Green, Brown","Fertility, Protection of Nature",,Nhanderuvuçu,,,
Chukchi,Kutkh,God,Deity,Chukchi Regions,Male,Deity,"Nature, Trickery","Bird, Sea",,"Nature, Trickery",,,,,
Sara,Kwekwe,Spirit,"Guinea fowl spirit, symbol of abundance",Sara homeland,Female,Abundant and Alert,"Abundance, fertility",Guinea Fowl,Brown,"Fertility, alertness",,,,,
Caribbean,La Diablesse,Spirit,Temptress and Folkloric Figure,Trinidad and Tobago,Female,Seductress,"Temptation, Folklore, Mischief","Elegant Dress, Concealed Face",Red,"Folklore, Temptation",,,,,
Caribbean,La Sirene,God,Mermaid Goddess of the Sea,Haiti,Female,Beautiful Seductress,"Sea, Beauty, Seduction","Mermaid, Mirror","Blue, Silver","Beauty, Seduction",Married,,,Agwe (possible),Loa (possible)
Spanish,Laberis,God,God of the Lusitanian Sun,Lusitania,Male,Radiant and Solar,"Sun, Radiance","Sun, Fire","Gold, Red","Sun, Radiance",,,,,
Slavic,Lada,God,Goddess,Slavic Regions,Female,Goddess,"Love, Beauty","Grain, Flowers",White,"Love, Beauty",,,,,
Sumerian,Lahamu,God,War,Sumer,Female,Goddess,War,,,War,,,,,
Sumerian,Lahmu,God,War,Sumer,Male,God,War,,,War,,,,,
Mesopotamian,Lahmu and Lahamu,God,Primordial deities of creation,Mesopotamia,Other,Cosmic Parents,"Creation, Primordial Beings",,,"Creation, Primordial Existence",,,,,Various Primordial Beings
Baltic,Laima,God,Goddess of Fate and Fortune,,Female,Wise and Fateful,"Fate, fortune","Spindle, thread","White, blue","Wisdom, fate",,Baltic,Baltic,,"Many, including Kārlis"
Hawaiian,Laka,God,Goddess,Hawaii,Female,Goddess,"Hula, Forest",Hula Implements,Green,Goddess,,,,,
Hindu,Lakshmi,God,Goddess of wealth,Cosmic realm,Female,"Wealthy and benevolent,",Wealth and prosperity,"Lotus, veena","Blue, white","Wealth, prosperity,",Married,Lakshmi,Vishnu,"Parvati, Lakshmi,","Many, including Hathor, Anubis"
Hindu,Lakshmi,God,"Goddess of wealth, fortune, and prosperity",India,Female,Deity,"Wealth, Fortune, Prosperity","Lotus, Elephant",Gold,"Wealth, Prosperity",,Durga,Vishnu,-,Various deities
Berber,Lamashtu,God,Demon goddess causing harm to mothers,Underworld,Female,Malevolent and Destructive,"Harm, nightmares, infant mortality",Lion's head,Black,Protection against evil,,,,,Various malevolent spirits
Etruscan,Laran,God,God of War and Thunder,Etruria,Male,Fierce and Thunderous,"War, thunder",Thunderbolt,Red,"Courage, strength, victory",,Uni,Tinia,,Maris
