Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children,Name-Greek,Name-Greek
hittite,lelwani,god,goddess of love and fertility,,female,loving and fertile,"love, fertility","dove, myrtle tree","white, green","love, fertility",,,,,"many, including telipinu",,
finnish,lemminkäinen,human,adventurer,finland,other,hero,"hunting, love",swan,red,bravery,married,kyllikki,lemminkäinen,kyllikki,tuuri,,
luba,libanza,spirit,ancestor spirit,luba kingdom,other,spirit,"ancestry, protector",ancestor symbols,,"ancestry, protector",,,,,,,
anarchist,liberty,spirit,symbol of anarchy and freedom,global,other,icon of freedom,"anarchy, freedom, equality","broken chains, torch",black,"anarchy, freedom, equality",,,,,anarchists,,
jewish,lilith,god,night demon or goddess,earth,female,seductive and rebellious,"night, feminine power, independence","owl, serpent",black,"freedom, independence",,,,,,,
scottish/irish,lir,god,god of the sea and father of manannan mac lir,ireland,male,serene and connected to the sea,"sea, fatherhood","waves, sea creatures","blue, silver","sea, fatherhood",,,,,manannan mac lir,,
sara,logone river,anthropomorphism,sacred river with spiritual significance,sara homeland,other,sacred and flowing,"spiritual cleansing, life",river,varied,"spiritual connection, life flow",,,,,,,
norse,loki,god,trickster god,asgard,male,"tricky and cunning,",trickery and mischief,"serpent, fire","red, orange","trickery, transformation,",married,laufey,laufey,"sif, jarnsaxa","many, including fenrir, jormungandr",,
vietnamese,long mạ,god,dragon king of the rain,rain clouds,other,benevolent and fertile,"rain, fertility","dragon, rain clouds",blue,"fertility, rain",,,,,,,
hawaiian,lono,god,"god of fertility, agriculture, and peace",agriculture,male,nurturing and peaceful,"agriculture, peace",fertility symbols,green,"fertility, peace, abundance",,,,,various agricultural beings,,
finnish,louhi,anthropomorphism,witch,pohjola,other,villain,"sorcery, control",north wind,black,power,,,,,,,
luba,lu,god,sun god,luba kingdom,male,god,"sun, light",sun disk,gold,"sun, light",,,,,,,
celtic,lugh,god,god of light and arts,magical realm,male,light and arts,death and judgment,"sword, cauldron","green, brown","death, judgment",married,anu,dagda,"the dagda, danu","many, including oenghus",,
celtic ,lugh,god,"god of light, associated with arts and crafts",europe,male,deity,"light, arts, crafts","spear, wheel",gold,"light, creativity, skills",-,ethniu,cian,-,various deities,,
fijian,lutunasobasoba,god,"god of the arts, culture, and creativity",culture,male,creative and artistic,"arts, culture, creativity",various arts,various,"artistic expression, creativity",,,,,various artistic beings,,
caribbean,lwa of the windward,god,collective spirits of the windward,caribbean islands,other,elemental spirits,"wind, weather, elemental forces","wind, clouds, elemental symbols",various,"elemental forces, nature connection",,,,,,,
hopi,maasaw,god,earth god and guardian of the underworld,hopi reservation,male,underworld deity,"underworld, death, keeper of the dead",underground symbols,"black, brown","connection with the underworld, respect for death",,,,,,,
egyptian,ma'at,god,goddess of truth and justice,egypt,female,just and balanced,"truth, justice",feather of ma'at,white,"truth, justice, balance",,,,,,,
scottish/irish,macha,god,goddess of war and sovereignty,ireland,female,warlike and regal,"war, sovereignty","horses, crow","red, black","war, sovereignty",,ernmas,,,,,
sami,maderakka,god,earth goddess,sami lands,female,nurturing and fertile,"earth, fertility","earth, grain","green, brown","fertility, nature",,,,,"many, including plant spirits",,
laotian,mae tuptim,god,goddess of fertility and rain,nature,female,fertile and nurturing,"fertility, rain","rain, fruits",green,"fertility, nourishment",,,,,,,
egyptian,mafdet,god,cat goddess,egypt,female,goddess,"justice, execution",cat,,justice,,,,,,,
buddhist,mahakala,god,protector deity,various,other,wrathful protector,"protection, dharma defense","skull cup, trishula",black,"protection, wisdom",,,,,,,
cheyenne,ma'heo'o,god,creator,cheyenne nation,other,deity,creation,thunderbird,,creator,,,,,,,
hawaiian,mahuiki,god,fire goddess,hawaii,female,goddess,fire,fire,red,fire,,,,,,,
albanian,mallkoj,spirit,guardian spirit,albanian regions,other,spirit,"guardian, blessings","eye, hand",,"guardian, blessings",,,,,,,
caribbean,mama glo,spirit,earth mother and fertility spirit,haiti,other,fertility goddess,"fertility, agriculture, nurturing","earth, plants, maternal figure","brown, green","fertility, nurturing",,,,,,,
quechua,mama killa,god,goddess of the moon,andean region,female,lunar deity,"moon, night, fertility","crescent moon, silver disk",silver,"fertility, femininity",,pachamama,inti,,,,
inca,mama ocllo,god,fertility,andes,other,goddess,fertility,,,fertility,,,,,,,
inca,mama quilla,god,creator god,koricancha (golden temple),male,earth and fertility,earth and fertility,"sun disk, llama","gold, red","earth, fertility",married,pachamama,viracocha,pachamama,"many, including manco capac, mama ocllo",,
vodou,maman brigitte,god,guardian of the cemetery,"haiti, new orleans",other,"guardian of graves, ghede queen","death, afterlife, ancestors","cross, rum, peppers","black, purple","death, afterlife",,bondye,baron samedi,,"many, including ghede",,
sumerian,mami,god,mother,sumer,other,goddess,mother,,,mother,,,,,,,
caribbean,mami wata,spirit,water spirit and mermaid goddess,"west africa, caribbean",female,"water spirit, seductress","water, prosperity, fertility","mermaid, serpent","blue, green","prosperity, fertility",,,,,,,
celtic,manannan mac lir,god,god of the sea and otherworld,isle of man,male,"mysterious and otherworldly, radiant and kind","sea, otherworld","waves, cloak","blue, silver","otherworld, sea",,,lir,,niamh,,
arab,manat,god,goddess of fate and time,arabian peninsula,female,wise and fateful,"fate, time, destiny",crescent moon,black,"destiny, time",,,,,,,
mandean,manda d hiia,spirit,knowledge and wisdom,mandaean,other,"knowledge, wisdom",enlightenment,"scroll, lamp",white,"knowledge, enlightenment",,"ptahil, ruha",,,,,
algonquin,manitou,spirit,spiritual force and essence of life,algonquian tribes,other,spiritual essence,"spiritual power, life force","nature symbols, sacred icons",various,"connection with the sacred, life force",,,,,,,
buddhist,manjushri,god,bodhisattva of wisdom,cosmic,other,wisdom incarnate,"wisdom, intelligence","sword, book",blue,"wisdom, intelligence",,,,,,,
mesopotamian,marduk,god,god of wisdom and water,sky,male,"wise and watery,",wisdom and water,"willow, moon,","white, yellow","wisdom, water",married,ki,an,xi wangmu,"many, including guanyin,",,
assyrian,marduk,god,chief god of babylon,babylonia,male,supreme deity of babylon,"babylon, creation, victory","dragon, spade","blue, gold","victory, justice",married,damkina,ea,sarpanitu,"nabu, nergal",,
babylonian,marduk,god,chief god of babylon,-,male,deity,"creation, fertility","dragon, marduk's spade",-,"creation, fertility",-,ea (enki),damkina,sarpanit,various deities,,
spanish,maris,god,god of the sea,iberian peninsula,male,powerful and mysterious,"sea, power","trident, sea waves","blue, silver","sea, power",,,,,,,
roman,mars,god,god of war,mount olympus,male,warrior,war and conflict,"spear, shield","red, gold","war, courage",married,juno,jupiter,venus,"cupid, harmonia",,
communist,marx,human,"philosopher, revolutionary",global,other,visionary leader,"socialism, class struggle",communist manifesto,red,"socialism, marxism, equality",married,henriette pressburg (mother),heinrich marx (father),jenny von westphalen,"jenny, laura, eleanor",,
slavic,marzanna,god,goddess,slavic,female,goddess,"death, winter",straw effigy,white,goddess,,,,,,,
hopi,masauwu,god,"guardian, god of the dead",hopi mesas,male,"he commands authority over the underworld, fire, and death","dead, underworld, fire",skeleton,,"guardian, god of the dead",,,,,,,
wabanaki,mateguas (water spirit),spirit,water spirit and guardian of aquatic realms,wabanaki confederacy,other,water spirit,"water, aquatic life, healing","water symbols, healing icons",blue,"connection with water, healing",,,,,,,
sami,máttaráhkká,god,goddess of the bear,sami lands,female,protective and courageous,"bears, protection",bear,brown,"protection, courage",,,,,"many, including bear spirits",,
vietnamese,mẫu thượng ngàn,god,mother goddess of the forest and mountains,forests,female,nurturing and protective,"forest, mountains","forest animals, mountains",green,"nature, protection",,,,,,,
polynesian,maui,god,"hero, demigod, and trickster",pacific islands,male,clever and mischievous,"trickery, transformation, heroism","fishhook, tattoos","brown, green","trickery, heroism",married,hina,makea,"numerous, including humans and creatures",,,
polynesian,māui,human,heroic figure and culture hero,"land, sky",other,clever and adventurous,cultural achievements,fish hook,various,"perseverance, cleverness",,papatūānuku,rangi,,various cultural beings,,
dahomey,mawu-lisa,god,"supreme deity, creator goddess",sky,female,supreme deity,"creation, life","sun, moon",gold,"creation, life",married,,,lisa,oba koso (shango),,
vietnamese,mazu,god,goddess of the sea and protector of sailors,seas,female,compassionate and protective,"sea, protection",nautical symbols,blue,"sea, protection",,,,,,,
fijian,mbete,god,god of wind and storms,wind,male,powerful and unpredictable,"wind, storms",wind symbols,various,"power of nature, unpredictability",,,,,various storm-related beings,,
sara,mbongo,spirit,"elephant spirit, symbol of strength",sara homeland,other,strong and majestic,"strength, leadership",elephant,grey,"strength, leadership",,,,,,,
yazidi,melek mirza,spirit,peacock angel,yazidi,other,divine protector,"protection, harmony","peacock, sword",blue,"protection, harmony",,,,,,,
yazidi,melek taus,god,"peacock angel, chief deity",yazidi,other,"wisdom, protection","peacock, cosmic order","peacock, sun disk",blue,"wisdom, protection",,,,,,,
phoenician,melqart,god,god of city,phoenician regions,male,god,"city, protector","lion, club",red,"city, protector",,,,,,,
french,melusine,god,water nymph and sorceress,french region,female,enchantress,"water, transformation",water symbols,blue,transformation,,,,,,,
chinese,meng po,god,lady of forgetfulness,underworld,other,gentle and forgetful,"forgetfulness, reincarnation",bowl of forgetfulness,gray,"forgetfulness, reincarnation",,,,,,,
xavante,mẽnhẽ,god,goddess of the moon,xavante territory,female,lunar deity,"moon, night, fertility","crescent moon, night symbols",silver,"fertility, femininity",,,,,,,
etruscan,menrva,god,"goddess of wisdom, arts, and war",sky,female,wise and skilled,"wisdom, arts, war","owl, helmet, spear","gold, blue","wisdom, arts, courage",,uni,tinia,,"many, including hercle",,
roman,mercury,god,messenger god,mount olympus,male,messenger,"communication,","caduceus,","multi-colored,","communication, wit",married,maia,"jupiter,","venus, maia","hermes, perseus",,
jewish,metatron,spirit,angelic scribe,heaven,other,messenger and recorder,"communication, recording, divine secrets","scrolls, wings",gold,"revelation, communication",,,,,,,
aztec,mictlantecuhtli,god,god of the dead,mesoamerica,male,lord of the underworld,"death, afterlife","skull face, skeleton body","black, white","death, afterlife",,coatlicue (mother),,,,,
toltec,mictlantecuhtli,god,god of the dead,mesoamerica,male,lord of the underworld,"death, afterlife","skull face, skeleton body","black, white","death, afterlife",,,,,,,
finnish,mielikki,god,forest queen,finland,other,goddess,forest,deer,green,forest queen,,,,,,,
armenian,mihr,god,god of the sun,armenian regions,male,god,"sun, light",solar disk,gold,"sun, light",,,,,,,
norse,mimir,spirit,wisdom keeper and guardian of the well of wisdom,asgard,other,wise and knowledgeable,"wisdom, knowledge","well, head","blue, grey","wisdom, knowledge",,not mentioned,not mentioned,,,,
roman,minerva,god,goddess of wisdom and war,rome,female,wise and strategist,"wisdom, war",owl,blue,"wisdom, war",,jupiter,metis,,,,
persian,mithra,god,god of sun and contracts,persian,male,sun god,"sun, contracts","sun, bull",red,"sun, contracts",,anahita,ahura mazda,,,,
zoroastrian,mithra,god,god of the sun,-,male,deity,"sun, light, contracts",-,-,"sun, light, contracts",-,-,-,-,various deities,,
slavic,mokosh,god,goddess of earth and fertility,earth,female,nurturing and abundant,"agriculture, fertility","sheaf of wheat, plough","green, brown","fertility, abundance",,mati syra zemlya,rod,,"many, including yarilo",,
croatian,morana,god,goddess of winter and death,croatia,female,enigmatic and stern,"winter, death",snowflake,dark blue,"transformation, cycles",,,,,,,
slavic,morana,god,goddess of winter,slavic regions,female,goddess,"winter, death, psychopomp","snowflakes, scythe",white,"winter, death",,,,,,,
slavic,morozko,god,frosty winter deity,winter,other,stern and frosty,"winter, frost, cold","frosty figure, ice staff","white, blue","winter, endurance",,mother (varies),father (varies),,,,
celtic,morrigan,god,goddess of war and fate,celtic lands,female,war goddess,"war, fate, sovereignty","crow, spear",red,"war, fate, sovereignty",married,ernmas,the dagda,the dagda,various deities,,
